ID,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,SDSS,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
5107,5.87737E+17,53:52.3,+13:34:12.6,48,0.521,0,0.125,0.333,0.021,0,0.458,0.227,0.745,1,0,0,J135352.30+133412.5,208.467943,13.570156,0.066,0.054,174,,3,,10020100,2003.4093,3,0.09938,20.472,0.096,18.475,0.009,17.457,0.006,17.019,0.006,16.617,0.013,0.066163
5108,5.87737E+17,34:18.1,+09:22:20.9,25,0.64,0,0,0.12,0.24,0,0.12,0.577,0.173,0,0,1,J143418.05+092220.9,218.575224,9.372482,0.054,0.049,84,,3,,14020048,2003.3217,3,0.05224,18.348,0.026,17.23,0.006,16.749,0.006,16.421,0.007,16.243,0.013,0.099014
5109,5.87742E+17,05:07.4,+09:54:06.2,27,0.63,0,0.074,0.185,0.111,0,0.259,0.4,0.458,0,0,1,J080507.36+095406.2,121.280706,9.901735,0.061,0.059,21,,3,,1010020010,2005.1886,2,0.03384,18.749,0.053,17.471,0.007,16.925,0.006,16.649,0.007,16.384,0.018,0.0466
5110,5.88018E+17,54:01.0,+06:20:35.4,26,0,0.038,0.962,0,0,0,1,0,1,1,0,0,J115400.96+062035.3,178.504031,6.343159,0.062,0.058,0,,3,,1010021010,2003.2477,2,0.02033,16.825,0.017,15.39,0.003,14.749,0.003,14.419,0.003,14.214,0.006,0.047348
5111,5.87732E+17,24:40.4,+51:44:26.0,27,0.37,0.185,0.111,0.296,0.037,0,0.593,0.165,0.791,0,0,1,J102440.40+514426.0,156.168357,51.740556,0.053,0.042,22,,3,,1.0001E+11,2001.964,3,0.04685,18.53,0.042,17.289,0.006,16.709,0.006,16.341,0.006,16.088,0.017,0.052549
5112,5.87734E+17,12:16.9,+00:32:44.0,35,0.2,0.029,0.057,0.4,0.286,0.029,0.486,0.082,0.571,0,0,1,J221216.89+003243.9,333.070386,0.545528,0.164,0.08,90,,3,,10000110,2002.7768,3,0.02972,19.949,0.161,18.084,0.014,17.526,0.013,17.255,0.017,17.061,0.044,0.106541
5113,5.87732E+17,38:21.2,-00:00:00.7,38,0.526,0.026,0.026,0.289,0.132,0,0.342,0.243,0.577,0,0,1,J013821.19-000000.7,24.588325,-0.000211,0.059,0.051,0,,3,,9.0329E+11,2001.8897,3,0.07895,18.993,0.042,17.695,0.008,17.083,0.008,16.703,0.008,16.454,0.016,0.066688
5114,5.87739E+17,54:02.4,+27:23:14.4,61,0.59,0.115,0.016,0.148,0.131,0,0.279,0.362,0.472,0,0,1,J085402.42+272314.4,133.51009,27.387335,0.048,0.044,27,,3,,1010000000,2004.1295,2,0.08398,19.479,0.045,17.96,0.007,17.224,0.006,16.814,0.005,16.539,0.015,0.022431
5115,5.87729E+17,30:22.8,+65:30:35.3,37,0.514,0.162,0.054,0.108,0.162,0,0.324,0.26,0.527,0,0,1,J113022.79+653035.3,172.594963,65.509821,0.047,0.044,12,,3,,890000058,2001.0717,3,0.04253,18.523,0.033,17.57,0.007,17.225,0.008,17.008,0.01,16.837,0.027,0.078429
5116,5.87733E+17,58:42.9,+05:36:27.1,26,0.538,0,0.038,0.154,0.269,0,0.192,0.402,0.293,0,0,1,J095842.86+053627.0,149.678592,5.60752,0.045,0.042,4,,3,,10020000,2002.1743,3,0.07911,19.568,0.058,18.325,0.009,17.6,0.007,17.196,0.007,16.904,0.019,0.04176
5117,5.87733E+17,19:33.1,+05:52:57.9,37,0,0.973,0,0,0,0.027,0.973,0,0.973,1,0,0,J091933.11+055257.9,139.887966,5.882764,0.047,0.038,5,,3,,90021110,2002.1198,2,0.03383,17.26,0.027,15.394,0.003,14.595,0.003,14.188,0.003,13.904,0.005,0.057194
5118,5.87727E+17,05:39.1,+13:49:43.9,31,0.548,0,0,0.387,0.065,0,0.387,0.262,0.65,1,0,0,J230539.09+134943.8,346.412894,13.828858,0.044,0.036,4,,3,,10020110,2000.74,3,0.0956,21.578,0.42,19.183,0.019,17.916,0.01,17.277,0.008,16.773,0.019,0.079977
5119,5.87737E+17,53:18.8,+31:08:07.7,29,0.621,0,0,0.172,0.207,0,0.172,0.573,0.216,0,0,1,J145318.79+310807.6,223.328297,31.135467,0.045,0.031,158,,3,,90000010,2003.4803,2,0.08148,20.165,0.07,18.368,0.007,17.456,0.005,17.052,0.005,16.728,0.013,0.024625
5120,5.87736E+17,39:42.7,+09:31:48.9,33,0.394,0,0.091,0.455,0.061,0,0.545,0.191,0.738,0,0,1,J143942.65+093148.8,219.927747,9.530248,0.061,0.059,172,,3,,9.0009E+11,2003.3138,3,0.0482,18.691,0.035,17.601,0.006,17.211,0.006,16.913,0.007,16.718,0.017,0.012731
5121,5.87737E+17,52:17.2,+34:54:50.2,34,0.882,0.029,0,0.059,0.029,0,0.088,0.647,0.304,0,0,1,J155217.18+345450.1,238.071621,34.913935,0.064,0.054,51,,3,,10000010,2003.4067,2,0.08898,20.103,0.099,18.204,0.008,17.266,0.006,16.857,0.006,16.497,0.013,0.116167
5122,5.8774E+17,21:25.8,+21:19:11.0,21,0.762,0,0.095,0.095,0.048,0,0.19,0.514,0.419,0,0,1,J152125.77+211911.0,230.357414,21.319739,0.058,0.051,159,,3,,1010020158,2004.3925,3,0.04188,19.509,0.097,17.818,0.009,16.999,0.006,16.605,0.006,16.327,0.018,0.060998
5123,5.87726E+17,30:39.7,+61:48:00.7,59,0.797,0.017,0,0.119,0.068,0,0.136,0.732,0.198,0,0,1,J093039.69+614800.6,142.665413,61.800181,0.032,0.03,135,,3,,10021010,2000.3208,2,0.09138,19.69,0.057,17.771,0.007,16.81,0.005,16.381,0.005,16.033,0.01,0.080556
5124,5.88299E+17,46:42.0,+45:42:17.8,28,0.964,0,0,0,0.036,0,0,0.964,0,0,1,0,J134642.02+454217.8,206.675097,45.704953,0.049,0.041,73,,3,,10020010,2003.1908,2,0.06538,18.721,0.034,16.97,0.004,16.091,0.004,15.662,0.004,15.294,0.008,0.046014
5125,5.87729E+17,33:03.5,+43:31:27.6,29,0.517,0.034,0,0.379,0.069,0,0.414,0.242,0.667,1,0,0,J163303.49+433127.5,248.26458,43.524332,0.058,0.056,45,,3,,10020000,2001.2903,2,0.07189,18.601,0.023,17.749,0.008,17.47,0.007,17.131,0.007,17.078,0.02,0.009831
5126,5.8774E+17,56:27.1,+25:07:48.6,33,0.939,0,0,0.03,0.03,0,0.03,0.926,0.044,0,1,0,J135627.15+250748.6,209.113141,25.130179,0.06,0.056,168,,3,,1010021010,2004.4496,3,0.05737,17.749,0.024,16.012,0.003,15.138,0.003,14.739,0.003,14.44,0.005,0.068749
5127,5.88018E+17,20:50.0,+48:23:04.2,37,0.838,0.027,0.081,0,0.054,0,0.108,0.72,0.218,0,0,1,J142049.96+482304.2,215.208179,48.384505,0.054,0.05,64,,3,,1010020010,2003.3242,3,0.07666,18.724,0.032,17.163,0.005,16.361,0.004,15.933,0.004,15.589,0.008,0.072442
5128,5.87733E+17,02:59.2,+06:19:44.7,39,1,0,0,0,0,0,0,1,0,0,1,0,J090259.20+061944.6,135.746687,6.329074,0.048,0.044,6,,3,,10021110,2002.1935,3,0.07708,18.198,0.033,16.207,0.004,15.22,0.003,14.765,0.003,14.422,0.006,0.083575
5129,5.87726E+17,12:34.1,+64:05:50.0,31,0.613,0.032,0,0.161,0.194,0,0.194,0.4,0.352,0,0,1,J171234.07+640550.0,258.141958,64.097226,0.029,0.029,45,,3,,10021010,2000.2639,3,0.07624,18.649,0.025,17.834,0.006,17.721,0.007,17.473,0.007,17.522,0.023,0.013695
5130,5.87742E+17,19:05.9,+27:49:06.7,33,0,0.091,0.061,0.848,0,0,1,0,1,1,0,0,J131905.94+274906.6,199.774762,27.818518,0.093,0.07,173,,3,,1010000110,2005.0497,3,0.0216,18.236,0.041,17.071,0.006,16.626,0.007,16.395,0.009,16.16,0.025,0.051648
5131,5.87742E+17,31:14.5,+23:05:22.5,72,0.917,0,0,0.014,0.069,0,0.014,0.908,0.022,0,1,0,J123114.51+230522.4,187.810492,23.089571,0.079,0.072,0,,3,,10021010,2005.1946,2,0.07512,17.539,0.019,15.701,0.003,14.853,0.002,14.425,0.002,14.161,0.004,0.05164
5132,5.87731E+17,37:23.4,+14:25:35.7,30,0.7,0.067,0,0.167,0.067,0,0.233,0.577,0.35,0,0,1,J223723.45+142535.7,339.347711,14.426592,0.041,0.039,96,,3,,10020010,2001.7145,2,0.08344,19.342,0.057,17.532,0.006,16.579,0.004,16.136,0.005,15.812,0.01,0.032617
5133,5.87726E+17,24:27.2,+01:55:21.0,53,0.038,0,0,0.057,0.906,0,0.057,0.038,0.057,0,0,1,J142427.22+015520.9,216.113437,1.922492,0.051,0.047,0,,3,,2.0001E+11,2000.3433,3,0.09269,19.429,0.467,18.066,0.052,15.575,0.009,17.155,0.056,16.777,0.157,0.082159
5134,5.88018E+17,34:04.1,+11:37:41.0,23,0.304,0.043,0.087,0.522,0.043,0,0.652,0.063,0.881,1,0,0,J123404.12+113741.0,188.517181,11.628058,0.06,0.054,0,,3,,4.12129E+12,2003.245,2,0.08579,19.721,0.078,18.355,0.013,17.624,0.009,17.185,0.009,16.917,0.018,0.050996
5135,5.88017E+17,52:55.4,+20:36:28.9,63,0.476,0.063,0.032,0.349,0.063,0.016,0.444,0.105,0.77,1,0,0,J075255.43+203628.9,118.230968,20.608036,0.053,0.048,38,,3,,3290000000,2003.0778,2,0.09214,19.773,0.061,18.384,0.01,17.735,0.009,17.343,0.01,17.163,0.022,0.04411
5136,5.87724E+17,41:23.8,+15:21:10.6,43,0.512,0.186,0.023,0.163,0.116,0,0.372,0.166,0.657,0,0,1,J004123.77+152110.6,10.34908,15.35296,0.061,0.047,179,,3,,0000022A90000000,1999.7847,2,0.08308,18.996,0.036,18.013,0.008,17.538,0.008,17.148,0.009,17.067,0.031,0.05709
5137,5.87723E+17,45:09.5,+00:36:23.0,21,0.048,0,0.762,0.095,0,0.095,0.857,0.032,0.873,1,0,0,J154509.52+003623.0,236.289698,0.606405,0.047,0.043,0,,3,,2E+14,1999.2183,3,0.07179,18.151,0.038,16.667,0.005,15.955,0.004,15.582,0.005,15.367,0.011,0.069187
5138,5.87732E+17,19:17.1,-00:58:10.7,73,0.123,0.74,0.027,0.096,0.014,0,0.863,0.092,0.895,1,0,0,J031917.14-005810.7,49.821437,-0.969646,0.046,0.041,0,,3,,10000010,2001.8899,3,0.05381,17.235,0.013,16.282,0.004,15.927,0.003,15.598,0.003,15.472,0.008,0.077109
5139,5.87739E+17,22:34.4,+37:35:19.5,29,0.552,0,0.034,0.103,0.31,0,0.138,0.4,0.232,0,0,1,J132234.43+373519.5,200.643461,37.588752,0.046,0.041,170,,3,,1010020210,2004.2066,2,0.07269,19.223,0.043,18.056,0.007,17.526,0.006,17.154,0.007,17.032,0.018,0.010529
